Symbol,Name,Sector
ADBE,Adobe Inc.,Information Technology
AMZN,Amazon.com Inc.,Consumer Discretionary
AAPL,Apple Inc.,Information Technology
T,AT&T Inc.,Communication Services
ADSK,Autodesk Inc.,Information Technology
AVGO,Broadcom Inc.,Information Technology
CAT,Caterpillar Inc.,Industrials
CSCO,Cisco Systems,Information Technology
KO,Coca-Cola Company,Consumer Staples
EBAY,eBay Inc.,Consumer Discretionary
FB,Facebook Inc.,Communication Services
FDX,FedEx Corporation,Industrials
F,Ford Motor Company,Consumer Discretionary
GM,General Motors,Consumer Discretionary
HPQ,HP Inc.,Information Technology
INTC,Intel Corp.,Information Technology
MCD,McDonald's Corp.,Consumer Discretionary
MSFT,Microsoft Corp.,Information Technology
MSI,Motorola Solutions Inc.,Information Technology
NFLX,Netflix Inc.,Communication Services
NKE,Nike Inc.,Consumer Discretionary
NVDA,Nvidia Corporation,Information Technology
ORCL,Oracle Corp.,Information Technology
PEP,PepsiCo Inc.,Consumer Staples
QCOM,Qualcomm,Information Technology
SBUX,Starbucks Corp.,Consumer Discretionary
TSLA,Tesla Inc.,Consumer Discretionary
TWTR,Twitter Inc.,Communication Services
WDC,Western Digital,Information TechnologyS
